Issue Type,Issue Key,Summary,Description,Acceptance Criteria,Epic Key,Epic Name,Priority,Story Points,Sprint,Release,Component,Labels,Depends On,Blocks
Epic,EPIC-13,"Trust, Guardrails & Verification",Structurally prevent the product from ever stating an ungrounded number.,,,"Trust, Guardrails & Verification",P0,32,,R2,AI-Safety,epic,,
Epic,EPIC-14,AI Evaluation & Quality Harness,"Know whether a prompt change made the product better or worse, before shipping.",,,AI Evaluation & Quality Harness,P0,49,,R2,AI-Quality,epic,,
Epic,EPIC-15,Pattern Detection & Watchtower Agent,The product stops waiting to be asked and starts bringing findings to people.,,,Pattern Detection & Watchtower Agent,P0,52,,R3,AI,epic,,
Epic,EPIC-16,Generative Work Artifacts,"Draft the documents engineers hate writing, with citations intact.",,,Generative Work Artifacts,P0,47,,R3,Product,epic,,
Epic,EPIC-17,WhatsApp Field Agent,"Capture new records where technicians already are, in the language they use.",,,WhatsApp Field Agent,P0,44,,R3,Integrations,epic,,
Epic,EPIC-18,Plant Knowledge Base,"Ground answers in manuals, SOPs and past RCAs, not only in log rows.",,,Plant Knowledge Base,P0,37,,R3,AI,epic,,
Epic,EPIC-19,Proposal & Approval Inbox,"The governed write path: agents propose, named humans dispose, everything reverts.",,,Proposal & Approval Inbox,P0,29,,R3,Product,epic,,
Epic,EPIC-20,"AI Observability, Cost & FinOps","Know the quality, latency and rupee cost of every agent run and every tenant.",,,"AI Observability, Cost & FinOps",P0,40,,R4,Platform,epic,,
Epic,EPIC-21,"Security, Privacy & Compliance",Survive a plant IT head's security review and India's DPDP Act.,,,"Security, Privacy & Compliance",P0,53,,R4,Security,epic,,
Epic,EPIC-22,"Reliability, SRE & Deployment","Ship safely, stay up, and be able to prove you can restore from backup.",,,"Reliability, SRE & Deployment",P0,42,,R4,Platform,epic,,
Epic,EPIC-23,Commercialization & Onboarding,"Meter it, bill it, and onboard plant number three without a founder present.",,,Commercialization & Onboarding,P0,34,,R4,GTM,epic,,
Epic,EPIC-24,Frontend Product Application,Turn the demo prototype into the real multilingual product UI.,,,Frontend Product Application,P0,71,,R1,Frontend,epic,,
Spike,LS-001,Run 15 structured discovery interviews with maintenance leaders,"As a founder, I want evidence of who owns the pain and who signs the cheque, so that I do not build a product for a buyer who does not exist.","- Interview guide asks about the last three breakdowns and how each was diagnosed — listen first, never pitch.
- At least 15 interviews completed across at least 8 distinct plants.
- Notes captured in one shared repository, tagged by pain, role and plant size.
- Written synthesis names the top three pains and, per plant, who signs a purchase order.
- Explicit kill/continue call recorded: if nobody will share a file or discuss a paid pilot, the wedge changes before any backend code is written.",EPIC-00,Discovery & Design-Partner Validation,P0,5,S0,R0,GTM,discovery founder-led,,LS-002 LS-003 LS-007
Spike,LS-002,Collect and manually audit three real historical maintenance files,"As a founder, I want to know what real plant data actually looks like, so that the messy-data promise is tested before it is sold.","- At least three real (anonymised) files obtained under NDA from different plants.
- 100 random rows per file extracted by hand into the target schema.
- Achievable per-field accuracy recorded per file (date, machine, failure mode, action, parts, downtime).
- Worst-case formats catalogued: merged cells, multi-sheet layouts, scanned registers, free-text-only columns.
- Findings feed the extraction golden set (LS-140) and the realistic auto-approval target.",EPIC-00,Discovery & Design-Partner Validation,P0,5,S0,R0,GTM,discovery data-risk,LS-001,LS-004 LS-140 LS-141
Task,LS-003,Define and price the four-week paid pilot offer,"As a founder, I want a repeatable written pilot offer, so that every sales conversation converges instead of being renegotiated from scratch.","- One-page SOW covering success criteria, data scope, timeline, named champion, pilot fee and the annual price if it succeeds.
- Success criteria are objectively measurable (for example: ten real historical questions answered correctly with citations).
- Internal floor price agreed and documented; free pilots are explicitly excluded.
- Reviewed by a CA or lawyer for Indian contracting norms.",EPIC-00,Discovery & Design-Partner Validation,P0,3,S0,R0,GTM,pricing legal,LS-001,LS-004 LS-008
Task,LS-005,Clear the product name: trademark and domain search,"As a founder, I want naming risk resolved before the name is on a contract, so that a rename after ten pilots never happens.","- Indian trademark search completed in classes 9 and 42; conflicting marks listed.
- Primary domain and the obvious variants checked and secured.
- Go/no-go decision on the name recorded with reasoning; fallback name shortlisted.
- Company and IP assignment position documented for review with a lawyer.",EPIC-00,Discovery & Design-Partner Validation,P1,2,S0,R0,GTM,legal brand,,
Task,LS-006,"Draft NDA, data-processing terms and a one-page security FAQ","As a plant IT head, I want clear answers about where my maintenance data goes, so that I can approve a pilot without a three-month review.","- NDA and DPA drafted covering ownership, deletion or return on exit, and a no-training-on-customer-data commitment.
- LLM sub-processor disclosure written in plain language, including the zero-retention option.
- One-page security FAQ covers encryption, per-plant isolation, audit logs, backups and access control.
- DPDP Act 2023 consent and purpose language drafted for technician personal data.
- Reviewed by a lawyer before being sent to any prospect.",EPIC-00,Discovery & Design-Partner Validation,P0,3,S0,R0,GTM,legal security trust,,LS-004
Story,LS-010,Bootstrap the Spring Boot 3 / Java 21 modular-monolith skeleton,"As an engineer, I want a running application with enforced module boundaries, so that the monolith stays extractable later.","- Spring Boot 3.x on Java 21 builds and boots with an actuator health endpoint.
- Package structure com.logsense.<module> created for every module in reference doc 02.
- Constructor injection, DTO-at-the-boundary and no-entity-serialization conventions documented.
- Application starts with no database present in a 'lite' profile for fast unit tests.",EPIC-01,Platform Foundation & Developer Experience,P0,3,S0,R0,Platform,foundation,,LS-011 LS-013 LS-018 LS-060
Story,LS-011,One-command local dev stack via Docker Compose,"As an engineer, I want the whole stack up with one command, so that onboarding is minutes rather than a day.","- docker compose up starts PostgreSQL 16 with pgvector and pg_trgm, plus MinIO.
- Application connects to all services with zero manual configuration.
- Named volumes persist data across restarts; a documented reset command wipes them.
- README documents prerequisites and the full first-run sequence.",EPIC-01,Platform Foundation & Developer Experience,P0,3,S0,R0,Platform,devex,LS-010,LS-012 LS-220
Story,LS-012,Flyway migrations with a forward-only policy,"As an engineer, I want schema changes versioned and forward-only, so that production schema drift is impossible.","- Flyway wired with a documented V<n>__<description>.sql naming convention.
- ddl-auto is validate in every profile except the throwaway test profile.
- A CI lint rejects edits to already-applied migration files.
- Rollback policy documented: forward fixes only, never destructive down-migrations.",EPIC-01,Platform Foundation & Developer Experience,P0,2,S0,R0,Platform,database,LS-011,LS-015 LS-016 LS-020 LS-110
Story,LS-013,"Standard error envelope, stable error codes and a traceId filter","As an API consumer, I want every failure to look the same, so that clients handle errors generically and support can trace any incident.","- A single @RestControllerAdvice renders the error envelope from reference doc 17.
- Every response carries a traceId, propagated into logs and OpenTelemetry spans.
- Error codes are stable string constants, enumerated and documented.
- Contract tests assert the envelope shape for 400, 401, 403, 404, 409, 422, 424, 429 and 500.",EPIC-01,Platform Foundation & Developer Experience,P0,3,S0,R0,Platform,api-contract,LS-010,LS-014 LS-015 LS-203
Story,LS-014,"Uniform pagination, filtering and sorting kernel","As an API consumer, I want identical paging semantics everywhere, so that I write list-handling code once.","- Shared page/size/sort request binding with server-side clamping of size.
- Consistent page response envelope with content, page, size, totalElements, totalPages.
- Sort fields are whitelisted per resource; an unknown field returns 400, never a 500.
- Deep-paging guard prevents unbounded offsets on million-row tables.",EPIC-01,Platform Foundation & Developer Experience,P0,2,S0,R0,Platform,api-contract,LS-013,LS-017
Story,LS-018,CI pipeline with coverage and architecture gates,"As an engineer, I want the build to enforce our standards, so that quality does not depend on reviewer memory.","- CI runs build, unit tests, integration tests on Testcontainers, and static analysis on every PR.
- Coverage gate fails the build below the agreed line and branch thresholds.
- ArchUnit rules enforce module boundaries, no cross-module repository access, and no JPA entity on a controller signature.
- Full pipeline completes in under 20 minutes; failures annotate the PR.",EPIC-01,Platform Foundation & Developer Experience,P0,5,S0,R0,Platform,ci quality,LS-010,LS-146 LS-215
Story,LS-004,Sign the first paid design partner,"As a founder, I want one plant paying for a pilot, so that the pain is proven with money rather than politeness.","- Signed SOW and NDA with a named champion and an executive sponsor.
- Pilot fee invoiced and received — a free pilot does not satisfy this story.
- Historical data scope agreed, with a date for the first file handover.
- Pricing protection and case-study permission negotiated in exchange for design-partner status.",EPIC-00,Discovery & Design-Partner Validation,P0,8,S1,R0,GTM,design-partner,LS-002 LS-003 LS-006,
Spike,LS-007,Competitive teardown against CMMS incumbents and general-purpose chatbots,"As a founder, I want a sharp answer to 'why not UpKeep, or just ChatGPT?', so that the wedge holds up in a real sales meeting.","- Teardown of at least five relevant players covering positioning, pricing and India presence.
- One-paragraph differentiated answer written for each of: an incumbent CMMS, a generic chatbot, and doing nothing.
- The 'do nothing / Excel and memory' competitor is treated as the primary one.
- Findings folded into the pitch and into docs/00-PRODUCT-VISION.md.",EPIC-00,Discovery & Design-Partner Validation,P1,3,S1,R0,GTM,positioning,LS-001,
Task,LS-008,Define the north-star metric tree and the per-pilot scorecard,"As a founder, I want agreed leading indicators, so that a failing pilot is visible in week two rather than at renewal.","- North-star metric selected and justified; supporting input metrics mapped beneath it.
- Pilot scorecard defines auto-approval %, corrections per 100 records, queue burn-down time, weekly active engineers, WhatsApp records per week and time-to-first-answer.
- Internal red lines set (for example: auto-approval below 85% after alias mapping is a product problem, not a sales problem).
- Scorecard template ready to be populated manually before LS-147 automates it.",EPIC-00,Discovery & Design-Partner Validation,P0,3,S1,R0,GTM,metrics,LS-003,
Story,LS-015,Database-backed async job framework with pollable status,"As a user starting a long import, I want to poll progress, so that the UI shows real movement instead of a spinner.","- jobs table with type, status, progress percentage, result reference and error detail.
- GET /api/v1/jobs/{id} returns live status; terminal states are immutable.
- Jobs survive an application restart and resume or fail cleanly, never hang in RUNNING.
- Worker concurrency is bounded and configurable; no Kafka or external broker is introduced.",EPIC-01,Platform Foundation & Developer Experience,P0,5,S1,R0,Platform,async,LS-012 LS-013,LS-050 LS-055
Story,LS-016,Append-only audit log service,"As a compliance reviewer, I want every consequential action recorded immutably, so that an audit can reconstruct who did what.","- audit_logs table is append-only; UPDATE and DELETE are revoked at the database role level.
- Records actor, tenant, plant, action, entity type, entity id, before/after summary and timestamp.
- A single AuditService is the only write path; an ArchUnit rule forbids direct repository access.
- Audit writes participate in the caller's transaction so an action and its audit row commit together.",EPIC-01,Platform Foundation & Developer Experience,P0,3,S1,R0,Platform,audit compliance,LS-012,LS-190 LS-211
Story,LS-017,"OpenAPI generation, Swagger UI and a spec-diff CI gate","As an API consumer, I want an accurate spec and advance warning of breaking changes, so that integrations do not break silently.","- springdoc generates the spec; Swagger UI is enabled in dev and disabled in prod.
- The committed spec is regenerated in CI and a drift check fails the build.
- A breaking-change diff against the previous release fails the build unless an override label is applied.
- Every endpoint documents auth requirements, roles and error codes.",EPIC-01,Platform Foundation & Developer Experience,P1,3,S1,R0,Platform,api-contract ci,LS-014,
Chore,LS-019,Architecture Decision Record process and repository documentation layout,"As a future engineer, I want decisions and their reasoning recorded, so that settled questions are not relitigated every quarter.","- ADR template and numbered docs/adr/ directory established.
- Backfilled ADRs for: modular monolith, PostgreSQL with pgvector, agents-propose-humans-dispose, no fine-tuning on customer data.
- Contribution guide explains when an ADR is required.
- Documentation layout described in the repository README.",EPIC-01,Platform Foundation & Developer Experience,P2,2,S1,R0,Platform,docs,,
Story,LS-020,Organisation/tenant model with tenant_id on every table,"As a company selling to multiple plants, I want tenancy in the schema from the first migration, so that retrofitting it later never happens.","- organisations table sits above plants; every business table carries a non-null tenant_id.
- A migration lint fails CI if a new table omits tenant_id without an explicit allowlist entry.
- Tenant context is resolved from the JWT and held in a request-scoped holder.
- Composite indexes lead with tenant_id on every hot query path.",EPIC-02,"Identity, Tenancy & Access Control",P0,5,S1,R0,Security,multi-tenancy,LS-012,LS-021 LS-022 LS-051
Story,LS-021,Enforce tenant isolation with row-level security and an automated cross-tenant suite,"As a plant IT head, I want proof that another customer cannot see my data, so that a security review does not stall the deal.","- PostgreSQL row-level security policies applied to every tenant-scoped table.
- A Hibernate interceptor sets the tenant GUC on every connection checkout.
- An automated suite attempts cross-tenant reads and writes on every endpoint and expects 404, never 403 or an empty 200.
- A deliberately unscoped repository method fails the build via an ArchUnit rule.
- Test evidence is exportable as an artifact for customer security questionnaires.",EPIC-02,"Identity, Tenancy & Access Control",P0,8,S1,R0,Security,multi-tenancy security,LS-020,LS-210
Story,LS-022,JWT access and refresh token lifecycle with rotation and revocation,"As a user, I want long sessions without long-lived credentials, so that a stolen token has a short blast radius.","- Short-lived access token and long-lived refresh token with rotation on each use.
- Refresh-token reuse detection revokes the whole family and raises a security event.
- Logout, password change and deactivation all revoke outstanding tokens.
- JWT secret is required from the environment in prod; the app refuses to start without it.",EPIC-02,"Identity, Tenancy & Access Control",P0,5,S1,R0,Security,auth,LS-020,LS-023 LS-026 LS-214 LS-240
Story,LS-023,"User CRUD, invite flow and first-login password set","As a plant admin, I want to invite my team by email, so that onboarding does not require me to share passwords.","- Invite issues a single-use, time-limited token; the invitee sets their own password on first login.
- Password policy enforced with BCrypt hashing; passwords never appear in logs or audit payloads.
- Deactivation is soft: login is blocked, history and authorship are retained.
- Every user lifecycle action writes an audit row.",EPIC-02,"Identity, Tenancy & Access Control",P0,5,S1,R0,Security,auth,LS-022,LS-024 LS-172
Story,LS-024,Per-plant role assignment and a central PlantAccessService,"As a plant admin, I want roles granted per plant, so that a group engineer can see one plant without seeing all of them.","- Five roles supported: SUPER_ADMIN (global), PLANT_ADMIN, ENGINEER, TECHNICIAN, VIEWER (per plant).
- A single PlantAccessService answers 'can user X act on plant Y as role Z' and is the only authority.
- Method-level authorization applied on every controller; a missing annotation fails an ArchUnit rule.
- Access to an out-of-scope plant returns 404 so plant existence cannot be probed.",EPIC-02,"Identity, Tenancy & Access Control",P0,5,S1,R0,Security,rbac,LS-023,LS-025 LS-027 LS-028 LS-030 LS-113 LS-184
Story,LS-025,Automated role-matrix authorization test suite,"As a security reviewer, I want every endpoint tested against every role, so that an IDOR is caught by CI rather than by a customer.","- A generated matrix exercises every endpoint against all five roles plus anonymous.
- Expected outcomes are declared per endpoint; an undeclared endpoint fails the suite.
- Ownership-scoped resources are probed with another user's identifier and expect 404.
- The suite runs on every PR and its report is attached to the build.",EPIC-02,"Identity, Tenancy & Access Control",P0,5,S1,R0,Security,rbac testing,LS-024,LS-217
Story,LS-026,Login rate limiting and brute-force lockout,"As a security reviewer, I want credential stuffing to fail fast, so that exposed passwords elsewhere do not compromise this system.","- Per-identity and per-IP rate limits on login, refresh and password-reset endpoints.
- Progressive backoff and temporary lockout after a configured failure count.
- Rate-limit responses use 429 with a Retry-After header and the standard envelope.
- Lockout and limit events are audited and alertable.",EPIC-02,"Identity, Tenancy & Access Control",P0,3,S1,R0,Security,auth hardening,LS-022,
Story,LS-030,Plant and line CRUD,"As a plant admin, I want to model my plant's lines, so that machines and analytics have a hierarchy to roll up into.","- Plant CRUD restricted to SUPER_ADMIN; line CRUD available to PLANT_ADMIN.
- Lines carry kind PRODUCTION or UTILITY, covering the utilities group without an extra hierarchy level.
- Line names are unique within a plant; conflicts return 409.
- Deleting a line with machines is refused with a clear, actionable error.",EPIC-03,"Plant, Asset & Taxonomy Master Data",P0,3,S2,R1,Domain,master-data,LS-024,LS-031 LS-032 LS-033 LS-034
Story,LS-031,"Plant settings: shifts, operating hours, downtime cost and thresholds","As a maintenance manager, I want plant-specific parameters, so that KPIs and cost figures reflect my plant rather than a default.","- Configurable shift definitions, operating hours per week, and downtime cost per line-hour in INR.
- Auto-approval confidence threshold configurable per plant with a documented default.
- Pattern detector thresholds (window months, minimum events) overridable per plant.
- Settings changes are audited with before and after values.",EPIC-03,"Plant, Asset & Taxonomy Master Data",P0,3,S2,R1,Domain,master-data config,LS-030,LS-234
Story,LS-032,Machine master CRUD with asset codes and criticality,"As a plant admin, I want every machine registered with its code, so that messy free text can be resolved to a real asset.","- Machine carries name, asset code, line, type, criticality and commissioning date.
- Asset code is unique within a plant; conflicts return 409.
- Machines are searchable and paginated; a machine belongs to exactly one line.
- Deactivating a machine retains its history and excludes it from new resolution targets.",EPIC-03,"Plant, Asset & Taxonomy Master Data",P0,5,S2,R1,Domain,master-data,LS-030,LS-035 LS-040 LS-070
Story,LS-033,Failure-mode taxonomy with plant-level extension,"As a reliability engineer, I want a controlled failure vocabulary, so that Pareto analysis groups the same failure consistently.","- A seeded standard taxonomy ships with the product and is extensible per plant.
- Synonyms map to a canonical failure mode and are used by both extraction and search.
- Merging two failure modes re-points existing records and is audited.
- Taxonomy is exposed to the extraction prompt so the model chooses from a closed set.",EPIC-03,"Plant, Asset & Taxonomy Master Data",P0,3,S2,R1,Domain,taxonomy,LS-030,LS-040 LS-074
Story,LS-034,"Spare parts catalogue with codes, synonyms and unit cost","As a maintenance manager, I want parts catalogued with the names people actually type, so that '6205ZZ' and '6205 ZZ' are one part.","- Part carries code, description, unit cost, unit of measure and optional lead time.
- Synonym list per part feeds both extraction and search expansion.
- Part codes are unique per plant; a normalised form is indexed for fuzzy lookup.
- Catalogue is importable in bulk and exportable as CSV.",EPIC-03,"Plant, Asset & Taxonomy Master Data",P0,3,S2,R1,Domain,taxonomy parts,LS-030,LS-035 LS-042 LS-074
Story,LS-035,Bulk master-data import via CSV template,"As a plant admin onboarding a new plant, I want to upload machines and parts in bulk, so that setup takes an hour rather than a week.","- Downloadable CSV templates for machines and parts with inline column documentation.
- Dry-run validation reports every row error before anything is written.
- Import is transactional per file: either all valid rows commit, or nothing does, per the chosen mode.
- Re-importing an existing code updates rather than duplicating, and the change is audited.",EPIC-03,"Plant, Asset & Taxonomy Master Data",P1,5,S2,R1,Domain,master-data onboarding,LS-032 LS-034,LS-036 LS-232
Story,LS-040,"Maintenance record entity, lifecycle and soft delete","As the system, I need one canonical record type, so that search, analytics, patterns and AI all reason over the same thing.","- Record carries date, machine, failure mode, action, downtime hours, technician, kind and source.
- Lifecycle ACTIVE to CORRECTED to DELETED (soft) is enforced by an explicit state machine.
- Deleted records are excluded from search, analytics and AI citations but retained in the database.
- Every state transition writes an audit row naming the actor.",EPIC-04,Maintenance Record Core & Provenance,P0,5,S2,R1,Domain,core,LS-032 LS-033,LS-041 LS-042 LS-044 LS-045 LS-090
Story,LS-041,Immutable raw-record provenance chain powering View Source,"As an engineer reading an AI answer, I want to see the original row, so that I can judge the extraction myself.","- Every maintenance record links to a raw_record; the link is non-nullable.
- raw_records are append-only with a RESTRICT foreign key; normalization never overwrites raw text.
- Provenance exposes file name, sheet, row number and the verbatim original text, or the WhatsApp conversation reference.
- A record with no raw ancestor cannot be created — enforced by a database constraint, not only by service code.",EPIC-04,Maintenance Record Core & Provenance,P0,5,S2,R1,Domain,core trust,LS-040,LS-043 LS-046 LS-124
Story,LS-240,Frontend architecture decision and application shell,"As a frontend engineer, I want the framework, routing, auth and i18n settled once, so that feature work does not relitigate the basics.","- Framework decision recorded as an ADR with reasoning.
- App shell provides routing, authenticated session handling with token refresh, error boundaries and a loading strategy.
- Internationalisation scaffolding supports English, Hindi and Marathi from the first screen.
- Build, lint, type-check and test run in CI alongside the backend.",EPIC-24,Frontend Product Application,P0,8,S2,R1,Frontend,foundation,LS-022,LS-241 LS-248
Story,LS-241,Design system extracted from the demo prototype,"As a team, we want the prototype's visual language preserved in reusable components, so that the product looks like the demo customers approved.","- Tokens for colour, spacing, typography and elevation extracted from the prototype CSS.
- Core components built: cards, tables, timeline, chat blocks, trust badges, drawers, toasts, wizard.
- Trust badges render directly from the wire-format label, never from a client-side decision.
- Components are documented and visually reviewed against the prototype screenshots.",EPIC-24,Frontend Product Application,P0,5,S2,R1,Frontend,design-system,LS-240,LS-242 LS-243 LS-244 LS-245 LS-246 LS-247
Story,LS-036,Asset hierarchy import from an existing CMMS export,"As a plant with SAP PM, I want my existing asset tree imported, so that I do not retype 400 machines that already exist.","- Importer accepts common SAP PM and generic CMMS functional-location exports.
- Hierarchy is flattened to the plant/line/machine model with a reviewable mapping report.
- Unmappable levels are reported rather than silently dropped.
- Original export is retained as an immutable artifact for traceability.",EPIC-03,"Plant, Asset & Taxonomy Master Data",P2,5,S3,R1,Domain,onboarding integrations,LS-035,
Story,LS-042,Record-parts join and downtime normalisation to hours,"As an analyst, I want parts and downtime in consistent units, so that totals across three years of mixed formats are meaningful.","- Many-to-many record-to-part join with quantity.
- Downtime normalised to decimal hours from minutes, hours, shifts and phrases such as '2 ghante'.
- Unparseable downtime is stored as null and counted in coverage reporting rather than guessed.
- Unit conversion rules are unit-tested against the real-file fixtures from LS-002.",EPIC-04,Maintenance Record Core & Provenance,P0,3,S3,R1,Domain,core parts,LS-040 LS-034,LS-100
Story,LS-043,Manual record entry and audited correction with versioning,"As an engineer, I want to correct a wrong record without destroying history, so that the audit trail stays honest.","- Manual entry creates a raw_record of kind MANUAL so the provenance invariant holds.
- Correction creates a new version; the prior version is retained and retrievable.
- Correction requires a reason; the diff, actor and reason are audited.
- Corrections trigger re-indexing and invalidate cached statistics for the affected machine.",EPIC-04,Maintenance Record Core & Provenance,P0,5,S3,R1,Domain,core audit,LS-041,
Story,LS-044,Machine history endpoint with filters and pagination,"As an engineer, I want a machine's full chronological history, so that I can see everything that ever happened to it.","- Filterable by date range, failure mode, kind, part and technician.
- Sorted newest-first by default with a stable secondary sort for deterministic paging.
- Each entry exposes a provenance link for View Source.
- Response time stays within budget on a machine with 10,000 records.",EPIC-04,Maintenance Record Core & Provenance,P0,3,S3,R1,Domain,core api,LS-040,LS-243
Story,LS-045,Domain events for record created and updated,"As a downstream module, I want to react to record changes, so that indexing, stats invalidation and pattern rescans stay current.","- In-process Spring application events published on create, update and delete.
- Consumers include search indexing, machine-stats cache invalidation and targeted pattern rescan.
- Event handling failures are retried and never roll back the originating transaction.
- No external broker is introduced, per the documented V1 scope decision.",EPIC-04,Maintenance Record Core & Provenance,P0,2,S3,R1,Domain,events,LS-040,LS-073
Story,LS-046,Reference-plant seed data loader,"As an engineer or a sales demo, I want a realistic populated plant in one command, so that development and demos do not need a real customer.","- Loader builds the reference plant hierarchy, machines, parts and records from reference doc 25.
- Runs only under the dev and demo profiles and refuses to run against prod.
- Seeded data reproduces the prototype's headline numbers exactly.
- Loader is idempotent and has a documented reset path.",EPIC-04,Maintenance Record Core & Provenance,P1,3,S3,R1,Domain,devex demo,LS-041,
Story,LS-050,"Secure file upload with type, size and magic-byte validation","As a security reviewer, I want uploads validated by content rather than filename, so that a renamed executable cannot enter the system.","- Accepts xlsx, xls, csv, pdf and common image formats; everything else is rejected with a clear error.
- Content type verified by magic bytes, not by extension or client-supplied header.
- Size cap enforced and configurable; oversize uploads fail before buffering the whole file.
- XML parsers are configured XXE-safe; a malicious xlsx fixture is covered by a regression test.",EPIC-05,Ingestion Pipeline,P0,5,S3,R1,Ingestion,upload security,LS-015,LS-051 LS-216
Story,LS-051,Immutable object storage client with tenant-prefixed keys,"As a customer, I want my original files preserved and isolated, so that provenance survives and no other tenant can reach them.","- Pluggable StorageClient port with S3-compatible and local implementations.
- Object keys are prefixed by tenant and plant; cross-tenant key construction is impossible by design.
- Stored objects are never mutated; re-processing reads the original bytes.
- Download is served through a short-lived signed URL, never a public bucket.",EPIC-05,Ingestion Pipeline,P0,3,S3,R1,Ingestion,storage,LS-050 LS-020,LS-052 LS-180
Story,LS-052,XLSX and CSV parsers producing verbatim raw records,"As the system, I need every source row captured exactly as written, so that normalization can never destroy the evidence.","- Multi-sheet workbooks parsed with sheet name and row number retained per raw record.
- Merged cells, blank rows and inconsistent column counts handled without aborting the file.
- Cell values stored as original text; no type coercion at the raw layer.
- Parser is streaming so a 100,000-row workbook does not exhaust heap.",EPIC-05,Ingestion Pipeline,P0,5,S3,R1,Ingestion,parsing,LS-051,LS-053 LS-055 LS-056 LS-057 LS-061
Story,LS-053,PDF text extraction parser,"As a plant whose history is in PDF reports, I want those ingested too, so that I do not have to retype three years of records.","- Text-layer PDFs extracted with page number retained per raw record.
- Tabular layouts detected and split into rows where structure permits.
- PDFs with no text layer are routed to the OCR path rather than failing.
- Page-level provenance is exposed through View Source.",EPIC-05,Ingestion Pipeline,P1,5,S4,R1,Ingestion,parsing,LS-052,LS-054 LS-180
Story,LS-054,Scanned-register OCR parser,"As a plant with handwritten logbooks, I want scans converted to records, so that the pre-digital years are searchable too.","- Pluggable OCR provider port with at least one working implementation.
- Per-block OCR confidence retained and fed into overall extraction confidence.
- Low-confidence OCR output is routed to validation rather than auto-approved, regardless of extraction confidence.
- Original image is retained and shown side-by-side in the validation workbench.",EPIC-05,Ingestion Pipeline,P1,8,S4,R1,Ingestion,parsing ocr,LS-053,
Story,LS-055,"Import job state machine with resume, cancel and retry","As an engineer importing 2,000 rows, I want the run to survive failures, so that one bad row or a provider timeout does not cost me the whole file.","- States CREATED, PARSED, MAPPED, NORMALIZING, RESOLVED, COMPLETED, CANCELLED, FAILED with legal transitions enforced.
- Cancel stops further processing without rolling back rows already committed, and the state is clearly reported.
- Retry resumes from the last completed stage rather than restarting the file.
- An LLM provider outage pauses at NORMALIZING and resumes cleanly when the provider returns.",EPIC-05,Ingestion Pipeline,P0,8,S4,R1,Ingestion,pipeline,LS-052 LS-015,LS-058 LS-067 LS-244
Story,LS-056,Duplicate file and duplicate row detection,"As a maintenance manager, I want re-uploads to be caught, so that my downtime totals are not silently doubled.","- File-level duplicate detected by content hash and returns 409 with a link to the earlier import.
- Row-level near-duplicate detection across imports flags candidates rather than auto-deleting.
- Flagged duplicates surface in the validation queue for a human decision.
- Deliberate re-import is possible through an explicit override that is audited.",EPIC-05,Ingestion Pipeline,P0,5,S4,R1,Ingestion,data-quality,LS-052,
